player_id,name,team,position,overall_rank,position_rank,tier,ppr_points,points_per_game,vorp,low_ppr,high_ppr,confidence,games,pass_attempts,completions,passing_yards,passing_touchdowns,interceptions,carries,rushing_yards,rushing_touchdowns,targets,receptions,receiving_yards,receiving_touchdowns,fumbles_lost,data_mode,model_version,projection_season
00-0039139,Jahmyr Gibbs,DET,RB,1,1,1,283.206519062124,20.957898026001516,152.02437412665122,232.2293456309417,334.1836924933063,0.62,13.513116568787694,,,,,,240.53529172531196,1027.0439480480027,11.446056668319208,76.77377966111666,59.34594283520589,287.4320832794875,4.2602844577315935,0.9125368310678459,production,2026.2.0,2026
00-0038543,Jaxon Smith-Njigba,SEA,WR,2,1,1,280.5539237527418,19.184513888034147,141.27502272518427,230.0542174772483,331.0536300282353,0.62,14.623978766943383,,,,,,6.046906690455501,11.935707095220927,0.25382758452650805,155.85436595323512,103.03583142669149,1188.4426427115143,9.429751587331479,0.3106088428855758,production,2026.2.0,2026
00-0036963,Amon-Ra St. Brown,DET,WR,3,2,2,275.8599400282081,18.19020344223126,136.58103900065055,226.20515082313065,325.51472923328555,0.62,15.165302625904568,,,,,,1.635422374141566,10.35,0.14114898909520074,137.03485904931833,103.67318854471978,1123.7962222557826,9.841836456818966,0.5628917087874774,production,2026.2.0,2026
00-0039075,Puka Nacua,LA,WR,4,3,2,269.5558528886454,20.45695885745589,130.27695186108787,221.03579936868925,318.07590640860155,0.62,13.176731437302625,,,,,,9.367631015879773,71.72893110444684,0.3169841457544034,137.80153783536926,109.24206168839451,1090.1048376690687,7.139920307837716,0.3055061993266844,production,2026.2.0,2026
00-0040122,Ashton Jeanty,LV,RB,5,2,3,256.67420631847875,18.9364784914085,125.49206138300596,210.47284918115258,302.8755634558049,0.62,13.554484612064071,,,,,,258.51142470850834,1121.25,5.75,72.05795607911868,63.24999999999999,397.9,1.5515343864131264,1.15,production,2026.2.0,2026
00-0036900,Ja'Marr Chase,CIN,WR,6,4,3,251.0151552048201,19.81321196800933,111.73625417726257,205.8324272679525,296.1978831416877,0.62,12.669079380471599,,,,,,2.7431092667010915,13.37998925259104,0.0,138.94510778855582,83.82435389762347,1233.1265038672302,7.3797830255989645,0.8692730791896338,production,2026.2.0,2026
00-0038542,Bijan Robinson,ATL,RB,7,3,3,242.65034393659215,19.94328546506316,111.46819900111936,198.97328202800557,286.3274058451787,0.62,12.167019539567308,,,,,,201.92228708040625,955.379236899724,8.049999999999999,61.63260958791864,39.20911700052329,434.1257468597405,2.864749234915628,0.49888342468568025,production,2026.2.0,2026
00-0036554,Nico Collins,HOU,WR,8,5,4,244.12044696341803,16.281198217003812,104.8415459358605,200.1787665100028,288.0621274168333,0.62,14.994009882421473,,,,,,0.701938571246122,5.415014188534292,0.10953851776663635,131.19099403151608,80.33299255101284,1217.851373651766,6.8999999999999995,0.2982077391123293,production,2026.2.0,2026
LOV121782,Jeremiyah Love,ARI,RB,9,4,4,232.85714285714286,16.979166666666668,101.67499792167007,167.65714285714284,298.0571428571429,0.5,13.714285714285714,,,,,,173.75480336617406,918.1428571428571,6.857142857142857,71.78486101337087,49.42857142857143,404.7142857142857,1.8571428571428572,0.5714285714285714,production,2026.2.0,2026
00-0037247,George Pickens,DAL,WR,10,6,5,235.49241641019995,16.22812091748502,96.21351538264241,193.10378145636398,277.88105136403595,0.62,14.511379204505939,,,,,,0.5927581857070539,1.885341852650503,0.0,114.38588478736932,74.17322282801,1035.2389945004775,9.73509363743472,0.401900938865577,production,2026.2.0,2026
