season,position,target,model,is_baseline,mae,rmse,r2,bias,n,spearman
2018,QB,pass_attempts,previous_season_total,true,102.9326923076923,155.95601574211187,0.4829994293198535,53.50961538461539,104,0.6117767048808751
2018,QB,pass_attempts,previous_season_per_game,true,102.9326923076923,155.95601574211187,0.4829994293198535,53.50961538461539,104,0.6117767048808751
2018,QB,pass_attempts,two_year_weighted_average,true,102.9326923076923,155.95601574211187,0.4829994293198535,53.50961538461539,104,0.6117767048808751
2018,QB,pass_attempts,three_year_weighted_average,true,102.9326923076923,155.95601574211187,0.4829994293198535,53.50961538461539,104,0.6117767048808751
2018,QB,pass_attempts,position_age_group_average,true,194.76467044607938,215.52814085905223,0.01259635809722326,35.28367926212206,104,0.11358372939261271
2018,QB,pass_attempts,ridge_baseline,true,88.16740151848248,123.59562303317942,0.6752920353131548,12.951233364922258,104,0.6567315779662617
2018,QB,pass_attempts,historical_median_comparable_opportunity,true,86.23076923076923,160.2480049077775,0.454151624957397,-5.980769230769231,104,0.6260234568204848
2018,QB,pass_attempts,ridge,false,87.66902648093485,120.63712547439954,0.6906509975084968,9.21646068434822,104,0.705203129908883
2018,QB,pass_attempts,elastic_net,false,89.18621364766358,122.77557551503594,0.6795865660371435,15.499620955288654,104,0.7076835385389605
2019,QB,pass_attempts,previous_season_total,true,120.96078431372548,186.7480739853959,0.2649124142573763,52.98039215686274,102,0.5946299872089019
2019,QB,pass_attempts,previous_season_per_game,true,120.96078431372548,186.7480739853959,0.2649124142573763,52.98039215686274,102,0.5946299872089019
2019,QB,pass_attempts,two_year_weighted_average,true,120.96078431372548,186.7480739853959,0.2649124142573763,52.98039215686274,102,0.5946299872089019
2019,QB,pass_attempts,three_year_weighted_average,true,120.96078431372548,186.7480739853959,0.2649124142573763,52.98039215686274,102,0.5946299872089019
2019,QB,pass_attempts,position_age_group_average,true,190.3378160321971,212.76176987793514,0.045855800893292886,31.42366333542853,102,0.20449277649063682
