position,target,model,is_baseline,mae,rmse,spearman,folds
RB,rushing_yards,historical_median_comparable_opportunity,true,133.84362119001722,268.26581436904644,0.5990327376199499,8
TE,carries,historical_median_comparable_opportunity,true,0.4589824519335488,4.527645665573818,,8
RB,fantasy_points_ppr,two_year_weighted_average,true,35.86240706383719,58.252037572492924,0.6062378868203372,8
RB,targets,three_year_weighted_average,true,10.969663803261488,17.55846822568359,0.5702892828858517,8
TE,rushing_yards,three_year_weighted_average,true,1.7967742530767103,12.966376188885024,0.2334145457378714,8
WR,receptions,ridge,false,11.148687961406699,15.514708260446703,0.7693792008337399,8
RB,fumbles_lost,two_year_weighted_average,true,0.3607724790065056,0.7645811763970792,0.2996819206464451,8
QB,rushing_yards,historical_median_comparable_opportunity,true,61.899417031635764,142.20488625171384,0.5376744761356234,8
QB,fantasy_points_ppr,ridge_baseline,true,48.050004523167964,73.33859308879603,0.6524691302364685,8
QB,rushing_tds,position_age_group_average,true,0.9905691023768834,1.7923212733399798,0.2056028808121117,8
WR,targets,historical_median_comparable_opportunity,true,16.931248962344867,29.553538621832764,0.6537013929092451,8
RB,receiving_tds,ridge,false,0.473676122495364,0.8387786119501452,0.4782481611233693,8
QB,fumbles_lost,position_age_group_average,true,1.2002935974724638,1.5454762379755784,0.15331443213531232,8
TE,fantasy_points_ppr,previous_season_per_game,true,25.60473668850707,39.65133956556906,0.6028760389282639,8
QB,rushing_tds,previous_season_total,true,0.7567251848265968,1.5277561503158668,0.5283425769790362,8
QB,rushing_yards,previous_season_per_game,true,60.558429580647015,111.665995779795,0.5489260635542754,8
WR,targets,ridge,false,17.324436824905945,23.345972782914167,0.7784031873628434,8
RB,targets,ridge,false,9.305925056197353,13.773209006341023,0.7310180233008322,8
WR,rushing_yards,two_year_weighted_average,true,8.202096575692252,21.187106229982952,0.3660311337169601,8
QB,passing_tds,ridge,false,4.664930327869338,7.179068235239836,0.6983603092826377,8
WR,carries,position_age_group_average,true,1.4417886823550772,3.186417554998356,0.23084476029051484,8
TE,rushing_yards,historical_median_comparable_opportunity,true,2.211427255677719,23.850689475617152,,8
QB,pass_attempts,position_age_group_average,true,178.78029608826236,204.8400571638172,0.04761265290127086,8
RB,rushing_yards,previous_season_total,true,145.3004501031388,248.54399619972614,0.6058088187894144,8
WR,rushing_tds,previous_season_total,true,0.07073016509883358,0.3357461193635872,0.18603540077694075,8
RB,receiving_tds,previous_season_per_game,true,0.5120923106116398,1.1019233944224396,0.35058694379981076,8
QB,rushing_yards,three_year_weighted_average,true,60.558429580647015,111.665995779795,0.5489260635542754,8
WR,rushing_tds,position_age_group_average,true,0.06583187550101008,0.2536012366187101,0.08534927730910057,8
QB,passing_yards,previous_season_per_game,true,759.8197500849806,1215.0518010780384,0.5957816751494156,8
WR,receiving_tds,elastic_net,false,1.0841912943175394,1.6759076911932458,0.6850072797766655,8
TE,receiving_tds,two_year_weighted_average,true,1.0473107462917621,1.815354966818067,0.4975909048941184,8
RB,fumbles_lost,position_age_group_average,true,0.39759952039764207,0.6049609385983192,0.16399629351494663,8
RB,receptions,two_year_weighted_average,true,8.446586270726764,13.78718580539002,0.5726901016296171,8
WR,rushing_tds,two_year_weighted_average,true,0.07073016509883358,0.3357461193635872,0.18603540077694075,8
QB,passing_yards,historical_median_comparable_opportunity,true,653.9560573100559,1232.2191905641275,0.626796972098573,8
QB,passing_tds,ridge_baseline,true,4.6944803600091864,7.417328374585098,0.6472592093898325,8
TE,fumbles_lost,ridge_baseline,true,0.16290313793207667,0.42067187711503784,0.26176274387724136,8
TE,rushing_yards,ridge,false,3.162853592140216,16.339498648960827,0.10377215016189732,8
QB,passing_yards,three_year_weighted_average,true,759.8197500849806,1215.0518010780384,0.5957816751494156,8
WR,fumbles_lost,previous_season_per_game,true,0.18565162707990693,0.4822194159324263,0.11241489578754305,8
QB,interceptions,two_year_weighted_average,true,3.385280643304622,4.971006900417255,0.4788043113005602,8
RB,rushing_tds,ridge_baseline,true,1.1815805164030944,2.094506918991927,0.5990409943986431,8
WR,receiving_tds,ridge_baseline,true,1.0649212808869983,1.6663680099141438,0.6625479647670403,8
QB,pass_attempts,elastic_net,false,94.38812993409482,132.91541475777726,0.7152545155816912,8
TE,rushing_yards,previous_season_total,true,1.7967742530767103,12.966376188885024,0.2334145457378714,8
TE,targets,previous_season_total,true,14.520460499615806,22.397493272437973,0.5877272601008054,8
RB,targets,historical_median_comparable_opportunity,true,8.91326362000634,17.059031547902492,0.5912731968205927,8
QB,fumbles_lost,historical_median_comparable_opportunity,true,0.7572525939018,1.454999248231668,0.49689632780079296,8
WR,receiving_tds,position_age_group_average,true,1.7165302532863285,2.375077356386849,0.19135814147362448,8
RB,targets,position_age_group_average,true,14.48810428218248,19.98115657863237,0.2995161565014768,8
RB,fantasy_points_ppr,position_age_group_average,true,52.29105886643438,73.63152777491553,0.32729659571890923,8
TE,carries,previous_season_per_game,true,0.3404781000609305,2.2019045346281962,0.4569120813101141,8
WR,fantasy_points_ppr,three_year_weighted_average,true,34.12068343787019,52.48696492331537,0.6493842965277468,8
QB,passing_yards,position_age_group_average,true,1315.744868569294,1521.4953321194546,0.04815769983807978,8
TE,rushing_tds,two_year_weighted_average,true,0.04339534057636668,0.29426332040102476,0.29683396880552704,8
TE,fumbles_lost,previous_season_total,true,0.15448234066865665,0.4551421328469871,0.14378504989564786,8
WR,receptions,elastic_net,false,11.123033110570786,15.670045559463539,0.7595028408513376,8
WR,carries,ridge,false,1.3030553238223477,2.5782208890308,0.46974230549884005,8
TE,receiving_tds,historical_median_comparable_opportunity,true,0.8122440991215767,1.6705062701914064,0.4964168465120301,8
TE,receiving_yards,two_year_weighted_average,true,107.0628582691876,169.24970246398948,0.5985158066680268,8
WR,receptions,previous_season_total,true,12.486282413339083,18.98378022903123,0.6415782538158932,8
TE,receiving_yards,elastic_net,false,97.01638013753364,146.21673846942244,0.7156220769978515,8
TE,fantasy_points_ppr,three_year_weighted_average,true,25.60473668850707,39.65133956556905,0.6028618612394393,8
QB,carries,elastic_net,false,10.995665422140858,17.78628225523958,0.7218925984519536,8
RB,targets,previous_season_per_game,true,10.969663803261488,17.55846822568359,0.570261265700981,8
RB,rushing_yards,previous_season_per_game,true,145.3004501031388,248.54399619972614,0.6058253506326252,8
QB,completions,previous_season_total,true,70.05926366258306,111.09180783859578,0.5841835943629654,8
WR,receiving_tds,historical_median_comparable_opportunity,true,0.964220109574601,2.0327924261061416,0.6056539742982034,8
TE,targets,ridge_baseline,true,12.69436492875471,18.62008406460458,0.6741838229707311,8
WR,receiving_yards,ridge_baseline,true,140.4588025824817,203.91401175708435,0.7127227689072554,8
