player_id,player_name,position,old_team,new_team,transaction_type,transaction_status,roster_status,expected_depth_chart_rank,starter_confidence,role_uncertainty,active_roster,projection_eligible,priority,effective_season,as_of_date,source,notes,active_roster_bool,projection_eligible_bool
00-0029263,Russell Wilson,QB,NYG,RET,retired,confirmed,retired,,low,high,false,false,P1,2026,2026-07-29,manual_offseason_patch,Exclude all 2026 projections,false,false
00-0030035,Adam Thielen,WR,PIT,RET,retired,confirmed,retired,,low,high,false,false,P1,2026,2026-07-29,manual_offseason_patch,Vacate PIT targets,false,false
